speaker,start_s,end_s,duration_s
Max,209.43,209.66,0.23
Riad,209.9,212.84,2.94
Max,209.91,210.65,0.74
Alicia,211.35,211.61,0.26
Kush,211.48,212.34,0.86
Max,211.89,212.3,0.41
Alicia,212.59,212.9,0.31
Max,212.64,212.89,0.25
Kush,212.86,214.15,1.29
Max,213.08,214.08,1.0
Alicia,213.16,213.46,0.3
Riad,213.4,214.49,1.09
Alicia,214.1,214.83,0.73
Kush,214.64,217.58,2.94
Riad,215.0,218.08,3.08
Max,215.08,215.41,0.33
Alicia,216.12,216.94,0.82
Max,216.74,217.45,0.71
Alicia,217.14,217.87,0.73
Max,217.66,217.86,0.2
Kush,217.85,218.3,0.45
Kush,219.05,220.02,0.97
Riad,219.56,220.53,0.97
Kush,220.48,221.42,0.94
Riad,221.0,221.37,0.37
Max,221.41,221.68,0.27
Riad,221.54,221.92,0.38
Kush,221.58,222.88,1.3
Alicia,222.0,222.3,0.3
Riad,222.09,223.04,0.95
Max,222.25,222.86,0.61
Kush,223.04,224.25,1.21
Riad,223.2,225.97,2.77
Kush,224.49,225.46,0.97
Alicia,224.63,225.04,0.41
Alicia,226.4,227.23,0.83
Max,226.92,227.6,0.68
Kush,227.3,228.06,0.76
Alicia,227.87,229.0,1.13
Riad,228.07,228.57,0.5
Max,228.39,228.94,0.55
Kush,228.47,229.02,0.55
Kush,229.55,229.87,0.32
Alicia,229.87,230.12,0.25
Riad,230.03,230.67,0.64
Max,230.35,230.57,0.22
Kush,230.68,231.29,0.61
Alicia,230.68,231.65,0.97
Max,230.96,232.16,1.2
Riad,231.19,231.78,0.59
Alicia,232.12,232.45,0.33
Max,232.59,232.96,0.37
Kush,232.68,233.6,0.92
Alicia,232.73,233.21,0.48
Riad,233.18,234.23,1.05
Max,233.19,233.46,0.27
Alicia,234.0,234.33,0.33
Alicia,234.56,234.97,0.41
Max,235.05,235.8,0.75
Kush,235.07,239.92,4.85
Riad,235.57,235.92,0.35
Riad,236.08,240.41,4.33
Alicia,236.28,236.52,0.24
Max,236.78,237.09,0.31
Alicia,237.12,237.41,0.29
Max,237.27,238.25,0.98
Alicia,237.57,237.8,0.23
Alicia,238.57,238.83,0.26
Kush,240.83,242.26,1.43
Riad,241.32,243.91,2.59
Kush,242.46,243.34,0.88
Alicia,242.57,242.83,0.26
Max,242.81,243.33,0.52
Riad,244.24,244.46,0.22
Kush,244.43,245.05,0.62
Riad,244.93,245.57,0.64
Kush,245.66,247.22,1.56
Alicia,245.93,246.78,0.85
Riad,246.16,247.67,1.51
Alicia,246.97,248.07,1.1
Kush,247.66,248.08,0.42
Riad,248.16,248.58,0.42
Max,248.18,248.58,0.4
Kush,248.38,249.12,0.74
Riad,248.8,249.72,0.92
Kush,249.46,249.76,0.3
Kush,249.92,251.0,1.08
Riad,249.99,250.26,0.27
Riad,250.43,252.63,2.2
Kush,251.26,252.16,0.9
Alicia,252.28,253.05,0.77
Kush,252.38,253.1,0.72
Riad,252.87,253.61,0.74
Kush,253.53,253.74,0.21
Kush,254.02,255.24,1.22
Riad,254.03,254.24,0.21
Alicia,254.09,254.4,0.31
Riad,254.52,255.8,1.28
Kush,255.46,256.51,1.05
Riad,255.96,257.3,1.34
Max,256.22,256.46,0.24
Max,256.84,257.3,0.46
Kush,257.63,259.4,1.77
Riad,257.92,259.04,1.12
Alicia,258.03,258.52,0.49
Alicia,259.2,259.44,0.24
